,title,label,processed_title
1269,Master Thesis - Error-Correction Codes for Single Photons,CLASS4,master thesis  errorcorrection codes for single photons
1270,Master Thesis: Materials for interconnect between or within printed circuit boards,CLASS4,master thesis materials for interconnect between or within printed circuit boards
1271,Specialist- CS Core,CLASS5,specialist cs core
1272,"SerDes, Interconnect and Electrical Package Designer",CLASS4,serdes interconnect and electrical package designer
1273,Electrical Test Engineer (m/f/d),CLASS4,electrical test engineer 
1274,Strategic Product Management Job stage 9,CLASS5,strategic product management job stage 9
1275,Expert 5G design,CLASS4,expert 5g design
1276,Optimization Engineer,CLASS4,optimization engineer
1277,PA Chip Design Engineer,CLASS4,pa chip design engineer
1278,Radio ASIC Validation Engineer,CLASS8,radio asic validation engineer
1279,Mechanical Designer,CLASS4,mechanical designer
1280,Product Quality Leader,CLASS4,product quality leader
1281,ENGINEER SVCS RF,CLASS4,engineer svcs rf
1282,Applied Research Engineer,CLASS4,applied research engineer
1283,NDO Research Specialist,CLASS4,ndo research specialist
1284,Master thesis - Machine learning for design of frequency selective surface radomes,CLASS4,master thesis  machine learning for design of frequency selective surface radomes
1285,Master Thesis - Performance of UE Relay,CLASS4,master thesis  performance of ue relay
1286,"Master Thesis, 3D modelling",CLASS4,master thesis 3d modelling
1287,"Research Summer Interns / Master Thesis Workers, Ericsson Finland",CLASS4,research summer interns  master thesis workers ericsson finland
1288,Operative Product Owner - R6000,CLASS7,operative product owner  r6000
1289,Machine learning for design of frequency selective surface radomes,CLASS4,machine learning for design of frequency selective surface radomes
1290,Electrical Design Engineer,CLASS4,electrical design engineer
1291,Capacity Management -- CS/PS/IMS/VAS (Timisoara & Bucharest),CLASS7,capacity management  cspsimsvas 
1292,Master Thesis - UE Positioning For mmW With Machine Learning,CLASS4,master thesis  ue positioning for mmw with machine learning
1293,Engineer - IP,CLASS4,engineer  ip
1294,Master thesis - Channel State Information Prediction with Limited UE Feedback,CLASS4,master thesis  channel state information prediction with limited ue feedback
1295,Infrastructure Operations Manager - Netherlands,CLASS7,infrastructure operations manager  netherlands
1296,Lab engineer,CLASS4,lab engineer
1297,Technical Authority Expert Job stage 6,CLASS5,technical authority expert job stage 6
1298,Baseband 5G Test Manager,CLASS4,baseband 5g test manager
1299,Master Thesis: Energy consumption trade-offs in robotics,CLASS4,master thesis energy consumption tradeoffs in robotics
1300,Master Thesis - Automated Vulnerability Management,CLASS3,master thesis  automated vulnerability management
1301,Master/Bachelor Thesis - Cloud-Native Authorization,CLASS5,masterbachelor thesis  cloudnative authorization
1302,Master Thesis: Particle filtering for improved 5G positioning,CLASS4,master thesis particle filtering for improved 5g positioning
1303,Solution Integrator Zabbix,CLASS4,solution integrator zabbix
1304,Master thesis: Advanced optimization for 5G radio algorithms,CLASS4,master thesis advanced optimization for 5g radio algorithms
1305,Master thesis: Nonlinear System Identification of Multistage Power Amplifiers,CLASS4,master thesis nonlinear system identification of multistage power amplifiers
1306,Master thesis: Power-Optimal Algorithms for Next-Gen mmWave Radios,CLASS4,master thesis poweroptimal algorithms for nextgen mmwave radios
1307,Master Thesis: Combined Tx/Rx path,CLASS4,master thesis combined txrx path
1308,NM Devops Engineer,CLASS8,nm devoperations engineer
1309,Solution Introduction Engineer m/f/d,CLASS4,solution introduction engineer mfd
1310,Head of Solution Delivery,CLASS4,head of solution delivery
1311,Master Thesis - Test environment Orchestration,CLASS4,master thesis  test environment orchestration
1312,Master Thesis- Large System Verification relations between planning parameters,CLASS8,master thesis large system verification relations between planning parameters
1313,Signaling Solution Architect (m/f/d),CLASS4,signaling solution architect 
1314,RF Research Engineer 6G Antennas (m/f/d),CLASS4,rf research engineer 6g antennas 
1315,Senior Performance System Engineer,CLASS4,senior performance system engineer
1316,Test Specialist,CLASS4,test specialist
1317,IAM Senior Engineer,CLASS8,iam senior engineer
1318,Senior Engineer - EOC,CLASS8,senior engineer  eoc
1319,RF Antenna Development Engineer (m/f/d),CLASS4,rf antenna development engineer 
1320,Senior Test Engineer (ENL),CLASS4,senior test engineer 
1321,Master Thesis: Localization and Language Handling For Ericsson Private 5G,CLASS4,master thesis localization and language handling for ericsson private 5g
1322,Master Thesis - Positioning and Sensing in 3D scenarios,CLASS4,master thesis  positioning and sensing in 3d scenarios
1323,Master Thesis - Design and investigation of a pulsating heat pipe device,CLASS4,master thesis  design and investigation of a pulsating heat pipe device
1324,Senior Engineer - Application Support,CLASS5,senior engineer  application support
1325,Master Thesis - Signal Encoding For Spiking Neural Networks,CLASS4,master thesis  signal encoding for spiking neural networks
1326,RAN Test and Validation Process Manager,CLASS4,ran test and validation process manager
1327,ASIC Design Engineer I,CLASS4,asic design engineer 1
1328,Master Thesis- Explore open-source XLS (Accelerated- HW Syntheses),CLASS4,master thesis explore opensource xls 
1329,Test Development Engineer (Radio),CLASS4,test development engineer 
1330,Master Thesis: Automated Pipeline for System Development,CLASS4,master thesis automated pipeline for system development
1331,Forklift Operator (Stand up Order Picker/Cherry Picker),CLASS13,forklift operator 
1332,2023 US Undergraduate Internship - Digital Growth North America,CLASS6, us undergraduate intern  digital growth north america
1333,Manager - Finance Operations Data Management,CLASS5,manager  finance operations data management
1334,Retail Merchandising Allocator - Trading and Allocation - EM South,CLASS6,retail merchandising allocator  trading and allocation  em south
1335,"Retail Store Associate - Lancaster Quality Center, 6147, Lancaster, PA",CLASS6,retail store associate  lancaster quality center 6147 lancaster pa
1336,"Assistant Store Manager, adidas Liverpool Factory Outlet",CLASS6,assistant store manager adidas liverpool factory outlet
1337,Tech Project Manager - Sales Tech (M/F/D),CLASS6,tech project manager  sales tech 
1338,Store Operations Manager Flagship adidas Champs-ElysÃƒÂ©es CDI (H/F),CLASS6,store operations manager flagship adidas champselyses cdi 
1339,Senior Manager Human Resources - DC Operations,CLASS1,senior manager human resources  dc operations
1340,Senior Tech Project Manager - Sales Tech (M/F/D),CLASS6,senior tech project manager  sales tech 
1341,Visuel Merchandising Expert adidas AÃƒÂ©roville (H/F),CLASS6,visuel merchandising expert adidas aroville 
1342,Retail Associate (Cashier),CLASS10,retail associate 
1343,Store Manager Viva OCS Bquilla,CLASS6,store manager viva ocs bquilla
1344,Sr. Specialist Visual Merchandising,CLASS6,senior specialist visual merchandising
1345,Visual Merchandising,CLASS7,visual merchandising
1346,Senior Shop Assistant - FO Annopol,CLASS7,senior shop assistant  fo annopol
1347,System on Chip Design and Validation Engineer,CLASS4,system on chip design and validation engineer
1348,Head of Solutions,CLASS4,head of solutions
1349,IP Resident Engineer,CLASS4,ip resident engineer
1350,Solution Specialist,CLASS4,solution specialist
1351,"System-on-Chip Trainee/Thesis Worker, SoC DFE ASIC",CLASS4,systemonchip traineethesis worker soc dfe asic
1352,"Antenna Design Engineer, RF",CLASS4,antenna design engineer rf
1353,"Integration, Testing and Validation Engineer",CLASS4,integration testing and validation engineer
1354,Local Product Owner,CLASS6,local product owner
1355,Silicon Photonics Design Summer Co-op,CLASS4,silicon photonics design summer coop
1356,"Sr. Manager, ERP Deployments",CLASS5,senior manager erp deployments
1357,Policy Solution Architect - VF Spain,CLASS5,policy solution architect  vf spain
1358,SoC/ASIC Engineer,CLASS8,socasic engineer
1359,Senior Standardization Specialist (AI/ML),CLASS5,senior standardization specialist 
1360,Senior Device & Modem Standards Research Expert,CLASS5,senior device and modem standards research expert
1361,Telecommunication Research Engineer for Device Research & Standardization,CLASS4,telecommunication research engineer for device research and standardization
1362,Research Engineer for Device Research & Standardization,CLASS4,research engineer for device research and standardization
1363,Senior Standardization Specialist for Media Connectivity and Architecture,CLASS4,senior standardization specialist for media connectivity and architecture
1364,Senior Research Engineer/Specialist for Privacy Preserving Technologies,CLASS5,senior research engineerspecialist for privacy preserving technologies
1365,Senior Simulation Specialist,CLASS4,senior simulation specialist
1366,Lead RAN Management and Intelligent Controller Standardization Specialist,CLASS5,lead ran management and intelligent controller standardization specialist
1367,Senior RAN Management & Optimization Standardization Specialist,CLASS5,senior ran management and optimization standardization specialist
1368,System Architecture Research Engineer /Specialist,CLASS5,system architecture research engineer specialist
1369,Senior Research Specialist,CLASS4,senior research specialist
1370,Senior Radio Research Specialist,CLASS4,senior radio research specialist
1371,Senior Standardization Specialist 5G-Advanced and 6G,CLASS4,senior standardization specialist 5gadvanced and 6g
1372,Salesforce DevOps Engineer,CLASS5,salesforce devoperations engineer
1373,R&D Development Engineer,CLASS4,research and development development engineer
1374,FM Engineer Core,CLASS8,fm engineer core
1375,Optics CE Engineer,CLASS4,optics ce engineer
1376,Sr. Platform QA Engineer,CLASS4,senior platform quality assucance engineer
1377,NW Perf and Optimization Engineer,CLASS4,nw perf and optimization engineer
1378,"Engineer, RF DPD",CLASS4,engineer rf dpd
1379,RF Technology Development Project Manager,CLASS4,rf technology development project manager
1380,Signal Processing Design Engineer,CLASS4,signal processing design engineer
1381,5G Core Stand Alone SME,CLASS6,5g core stand alone sme
1382,Graduate Design Engineer,CLASS4,graduate design engineer
1383,Mechanical Lab Co-op/Intern,CLASS4,mechanical lab coopintern
1384,Lab Tech Co-op/Intern,CLASS4,lab tech coopintern
1385,Electromechanical Assembly Co-op/Intern,CLASS8,electromechanical assembly coopintern
1386,Internship - SW Engineer L1 5G. F/NB/M,CLASS5,intern  sw engineer l1 5g fnbm
1387,Salesforce Admin,CLASS5,salesforce admin
1388,"Bell Labs Research Intern - computer vision, scene understanding",CLASS4,bell labs research intern  computer vision scene understanding
1389,Microwave Engineer,CLASS4,microwave engineer
1390,RAN Engineer,CLASS4,ran engineer
1391,Optics QA Test Engineer,CLASS4,optics quality assucance test engineer
1392,Principal Consultant Ã¢â‚¬â€œ Transformation,CLASS6,principal consultant  transformation
1393,RF System Engineer,CLASS8,rf system engineer
1394,Senior solution engineer,CLASS4,senior solution engineer
1395,"DPD Validation Lead, SoC Validation",CLASS4,dpd validation lead soc validation
1396,Optical Transmission Research 2,CLASS4,optical transmission research 2
1397,Optics Researcher,CLASS4,optics researcher
1398,Salesforce Admin and Developer,CLASS5,salesforce admin and developer
1399,Salesforce Developer,CLASS5,salesforce developer
1400,"Test Engineer, IODT",CLASS4,test engineer iodt
1401,Senior Patent Specialist/Counsel,CLASS3,senior patent specialistcounsel
1402,Trainee/Thesis worker for Edge Cloud Platform,CLASS5,traineethesis worker for edge cloud platform
1403,Manager IP Routing Software,CLASS5,manager ip routing software
1404,"Local Product Owner, SoC SW",CLASS5,local product owner soc sw
1405,"Engineer, Digital Design",CLASS4,engineer digital design
1406,Senior Engineering Project Manager,CLASS4,senior engineering project manager
1407,Intermediate Optical Module Test Engineer,CLASS4,intermediate optical module test engineer
1408,Circuit Designer,CLASS4,circuit designer
1409,Semiconductor Category Manager,CLASS4,semiconductor category manager
1410,Photonic Thermal Research Co-Op,CLASS4,photonic thermal research coop
1411,"Photonic Integration Research, Co-Op",CLASS4,photonic integration research coop
1412,Photonic Thermal Research Intern,CLASS4,photonic thermal research intern
1413,NPO Engineer,CLASS8,npo engineer
1414,Cognitive Systems Intern,CLASS4,cognitive systems intern
1415,Jr. Software Quality Assurance Engineer,CLASS5,junior software quality assurance engineer
1416,Bell Labs - Computer Vision Researcher,CLASS4,bell labs  computer vision researcher
1417,Bell Labs - Research Statistician,CLASS4,bell labs  research statistician
1418,"Engineer, SW Development, RF L1Low",CLASS5,engineer sw development rf l1low
1419,Advanced Sensing Devices BL Intern,CLASS4,advanced sensing devices bl intern
1420,Engineer Ã¢â‚¬â€œ Industrial Engineering,CLASS8,engineer  industrial engineering
1421,Praktikant im Bereich Data Science and Engineering (w/m/x) Published: 10.01.2023 NEW 86191 BMW AG IT Innovation and Research Munich,CLASS5,praktikant im bereich data science and engineering  published 1001 new 86191 bmw ag it innovation and research munich
1422,Steuerungstechniker (w/m/x) Published: 05.01.2023 NEW 85693 BMW AG Maintenance Berlin,CLASS11,steuerungstechniker  published 0501 new 85693 bmw ag maintenance berlin
1423,Karosseriebauer (w/m/x),CLASS8,karosseriebauer 
1424,Werkstudent im Bereich Data Science (w/m/x) Published: 22.12.2022 83840 BMW AG Data Science Munich,CLASS5,werkstudent im bereich data science  published 2212 83840 bmw ag data science munich
1425,Praktikant im Bereich Gesamtfahrzeug (w/m/x) Published: 19.12.2022 NEW 84665 BMW AG Vehicle architecture Munich,CLASS8,praktikant im bereich gesamtfahuman resourcezeug  published 1912 new 84665 bmw ag vehicle architecture munich
1426,"Software Engineer Customer, Brands and Sales (w/m/x) Published: 16.12.2022 NEW 65729 BMW AG Software Development Munich",CLASS5,software engineer customer brands and sales  published 1612 new 65729 bmw ag software development munich
1427,"Rolls-Royce Motor Cars, Goodwood - Maintenance - 13 Month Placement (July 2023) Published: 15.12.2022 NEW 22000386 Rolls-Royce Motor Cars Ltd. Maintenance Goodwood",CLASS8,rollsenioroyce motor cars goodwood  maintenance  13 month placement  published 1512 new 22000386 rollsenioroyce motor cars ltd maintenance goodwood
1428,Funktionsverantwortlicher Glas (w/m/x) Published: 13.12.2022 NEW 82177 BMW AG Chassis Munich,CLASS8,funktionsverantwortlicher glas  published 1312 new 82177 bmw ag chassis munich
1429,"Intern, Technology Partnerships and Business Development Published: 05.12.2022 NEW 220004DB BMW of North America LLC. Engineering / R&D Silicon Valley",CLASS5,intern technology partnerships and business development published 0512 new 220004db bmw of north america llc engineering  research and development silicon valley
1430,"BMW Plant Hams Hall, Birmingham - Project and Energy Management - 13 Month Placement (July 2023) Published: 02.12.2022 NEW 22000373 BMW Hams Hall Motoren GmbH Facilities Maintenance Hams Hall",CLASS8,bmw plant hams hall birmingham  project and energy management  13 month placement  published 0212 new 22000373 bmw hams hall motoren gmbh facilities maintenance hams hall
1431,"Praktikant im Bereich Scouting, Events, Netzwerk und Kommunikation (w/m/x) Published: 01.12.2022 NEW 77728 BMW AG Advanced Development/Research Munich",CLASS5,praktikant im bereich scouting events netzwerk und kommunikation  published 0112 new 77728 bmw ag advanced developmentresearch munich
1432,"Werkstudent im Bereich Scouting, Events, Netzwerk und Kommunikation (w/m/x) Published: 01.12.2022 NEW 77739 BMW AG Advanced Development/Research Munich",CLASS5,werkstudent im bereich scouting events netzwerk und kommunikation  published 0112 new 77739 bmw ag advanced developmentresearch munich
1433,Azubi zum Automobilkaufmann (w/m/x) in der Niederlassung Published: 01.12.2022 NEW 67741 BMW AG Business & Service Munich,CLASS6,azubi zum automobilkaufmann  in der niederlassung published 0112 new 67741 bmw ag business and service munich
1434,"Senior Specialist, BMW Charge Forward Program Published: 29.11.2022 NEW 220003ZQ BMW of North America LLC. Environmental Engineering Woodcliff Lake",CLASS8,senior specialist bmw charge forward program published 2911 new 220003zq bmw of north america llc environmental engineering woodcliff lake
1435,Senior Specialist Facility Management (f/m/x),CLASS13,senior specialist facility management 
1436,Praktikant im Bereich Prozessentwicklung und IT-Steuerung (w/m/x) Published: 24.11.2022 NEW 67409 BMW AG Corporate Sales Munich,CLASS6,praktikant im bereich prozessentwicklung und itsteuerung  published 2411 new 67409 bmw ag corporate sales munich
1437,Praktikant im Bereich Produktmanagement Aftersales (w/m/x) Published: 24.11.2022 NEW 45542 BMW AG Aftersales Distribution Munich,CLASS7,praktikant im bereich produktmanagement aftersales  published 2411 new 45542 bmw ag aftersales distribution munich
1438,Application Owner B2B Corporate & Special Sales Published: 21.11.2022 NEW 62194 BMW AG Software Development Munich,CLASS5,application owner b2b corporate and special sales published 2111 new 62194 bmw ag software development munich
1439,Shift Leader Maintenance (f/m/x) 1 Published: 16.11.2022 NEW 83016 BMW Manufacturing Hungary Kft. Body in white Debrecen,CLASS8,shift leader maintenance  1 published 1611 new 83016 bmw manufacturing hungary kft body in white debrecen
1440,Instandhalter Elektrik (w/m/x) Published: 15.11.2022 NEW 63186 BMW AG Maintenance Leipzig,CLASS11,instandhalter elektrik  published 1511 new 63186 bmw ag maintenance leipzig
1441,Instandhalter Elektrik (w/m/x) - BMW Group Werk Leipzig Published: 15.11.2022 NEW 50421 BMW AG Equipment Maintenance Leipzig,CLASS11,instandhalter elektrik   bmw group werk leipzig published 1511 new 50421 bmw ag equipment maintenance leipzig
1442,Praktikant im Bereich Gesamtfahrzeug (w/m/x) Published: 14.11.2022 NEW 22571 BMW AG Vehicle architecture Munich,CLASS8,praktikant im bereich gesamtfahuman resourcezeug  published 1411 new 22571 bmw ag vehicle architecture munich
1443,"Werkstudent im Bereich Mittelkonsole, Dekore, Blenden (w/m/x) Published: 11.11.2022 NEW 81605 BMW AG Driver Experience Cockpit Munich",CLASS11,werkstudent im bereich mittelkonsole dekore blenden  published 1111 new 81605 bmw ag driver experience cockpit munich
1444,Praktikant im Bereich HR Services und IT (w/m/x) Published: 08.11.2022 NEW 81996 BMW AG HR Operations Munich,CLASS1,praktikant im bereich human resource services und it  published 0811 new 81996 bmw ag human resource operations munich
1445,Werkstudent im Bereich Finish OberflÃƒÂ¤che (w/m/x) Published: 08.11.2022 NEW 81061 BMW AG Surface Finish Munich,CLASS13,werkstudent im bereich finish oberflche  published 0811 new 81061 bmw ag surface finish munich
1446,Praktikant im Bereich Produktbewertung LangzeitqualitÃƒÂ¤t (w/m/x) Published: 04.11.2022 NEW 81692 BMW AG Quality Steering & Management Munich,CLASS8,praktikant im bereich produktbewertung langzeitqualitt  published 0411 new 81692 bmw ag quality steering and management munich
1447,Senior Patent Attorney (m/w/d),CLASS9,senior patent attorney 
1448,Evidence Generation Lead,CLASS4,evidence generation lead
1449,Medical Ecosystem Partner (Hemofilia y Maduros),CLASS4,medical ecosystem partner 
1450,"End User, Workplace & Site Experience Specialist (Outsourced for Gulf Countries)",CLASS6,end user workplace and site experience specialist 
1451,"Senior Counsel Specialist, Assistant General Counsel, Competition/Antitrust Law",CLASS3,senior counsel specialist assistant general counsel competitionantitrust law
1452,Medical Director (Gastroenterology & Hepatology),CLASS4,medical director 
1453,Global Medical Collaboration Lead (Respiratory) - 24 Months Contract,CLASS4,global medical collaboration lead   24 months contract
1454,"Associate Field Engineering Specialist - Columbus, OH",CLASS8,associate field engineering specialist  columbus oh
1455,Medical Affairs Manager,CLASS4,medical affairs manager
1456,"Director and Assistant General Counsel, Neuroscience & Ophthalmology IP Lead, Intellectual Property",CLASS9,director and assistant general counsel neuroscience and ophthalmology ip lead intellectual property
1457,Principal / Senior Packaging Engineer,CLASS8,principal  senior packaging engineer
1458,"Sr. Asset Management, Plant Engineer",CLASS8,senior asset management plant engineer
1459,ERP Authorization Expert (System Manager),CLASS5,erp authorization expert 
1460,"Sr. Project Manager, Site Services",CLASS5,senior project manager site services
1461,Global Planning Manager - Molecular Labs,CLASS4,global planning manager  molecular labs
1462,Medical Value Lead,CLASS4,medical value lead
1463,Engineering Traineeship Program - Russian speaking,CLASS4,engineering traineeship program  russian speaking
1464,Qualified Patent Counsel m/w/d,CLASS9,qualified patent counsel mwd
1465,Packaging Engineer (Contractor),CLASS7,packaging engineer 
1466,System Admin- Concur (T&E),CLASS5,system admin concur 
1467,R&D Sensor and Data Acquisition Automation Engineer,CLASS5,research and development sensor and data acquisition automation engineer
1468,Competence Area Team Leader Diagnostics & Prognostics,CLASS4,competence area team leader diagnostics and prognostics
1469,Key Account Manager Lubrication System,CLASS6,key account manager lubrication system
1470,IngÃƒÂ©nieur QualitÃƒÂ© Clients (F/H),CLASS11,ingnieur qualit clients 
1471,Lean Manager (F/H),CLASS13,lean manager 
1472,Ausbildung als Industriemechaniker (m/w/d) in LÃƒÂ¼chow,CLASS8,ausbildung als industriemechaniker  in lchow
1473,Machine Supervisor,CLASS8,machine supervisor
1474,Product Engineer Seats upholstery,CLASS4,product engineer seats upholstery
1475,"Shop Manager, Mega Casting Plant - Volvo Cars Kosice (VCK)",CLASS8,shop manager mega casting plant  volvo cars kosice 
1476,"Shop Manager, Mega Casting Plant VCK",CLASS8,shop manager mega casting plant vck
1477,Consumer Product UI/UX Designer,CLASS5,consumer product uiux designer
1478,Senior Specialist Future Business & Sustainability (m/w/d),CLASS13,senior specialist future business and sustainability 
1479,Senior Engineering Manager - Salesforce,CLASS5,senior engineering manager  salesforce
1480,Analytics Scientist (Crop Science R&D),CLASS4,analytics scientist 
1481,"Senior Manager, Medical Device Safety - Vigilance & Standards",CLASS3,senior manager medical device safety  vigilance and standards
1482,Senior Medical Science Liaison - San Antonio TX,CLASS4,senior medical science liaison  san antonio tx
1483,R&D Specialist III,CLASS4,research and development specialist 3
1484,ERP Product Manager Grower Management,CLASS7,erp product manager grower management
1485,Medical Science Liaison (MSL) - (F/H),CLASS4,medical science liaison   
1486,"Manager, Medical Affairs(Ã¨â€šÂ¿Ã§ËœÂ¤)",CLASS4,manager medical affairs
1487,"Senior Health, Safety and Enviornmental Specialist",CLASS3,senior health safety and enviornmental specialist
1488,"Health, Safety, and Enviornmental Generalist",CLASS3,health safety and enviornmental generalist
1489,2nd Plant Manager,CLASS8,2nd plant manager
1490,"(seasonal) Field Breeding Research Assistant, Lloydminster, SK",CLASS4, field breeding research assistant lloydminster sk
1491,Director Policy & Research - Regions,CLASS13,director policy and research  regions
1492,Global Medical Affairs Senior Director-Oncology,CLASS4,global medical affairs senior directoroncology
1493,Process Technology Manager PAT (m/w/d),CLASS8,process technology manager pat 
1494,Data Science Novel Phenotypes Intern,CLASS4,data science novel phenotypes intern
1495,Projectmanager Plant Processes (m/f/d),CLASS8,projectmanager plant processes 
1496,Medical Representative - An Giang province,CLASS13,medical representativeresentative  an giang province
1497,Patent Counsel,CLASS9,patent counsel
1498,Head of CapEx Contract Management (m/f/d),CLASS3,head of capex contract management 
1499,Expert - Process Automation and Reporting,CLASS8,expert  process automation and representativeorting
1500,Pharmaceutical Representative (District: Mazowieckie & Podlaskie),CLASS4,pharmaceutical representativeresentative 
1501,Shift Incharge Safety,CLASS8,shift incharge safety
1502,Senior Medical Science Liaison (field based),CLASS4,senior medical science liaison 
1503,Regional Lead- Northeast US and Eastern Canada,CLASS13,regional lead northeast us and eastern canada
1504,MLOps Engineer,CLASS8,mloperations engineer
1505,PCS Plant Engineer (m/f/d),CLASS8,pcs plant engineer 
1506,"Health, Safety, and Environment Tech",CLASS13,health safety and environment tech
1507,ACL CYA Plant Mgr,CLASS8,acl cya plant manager
1508,Field Breeding Research Assistant,CLASS4,field breeding research assistant
1509,ServiceNow HRSD Solution Engineer,CLASS5,servicenow human resourcesd solution engineer
1510,Eng Advanced Mfg,CLASS4,eng advanced mfg
1511,"Jr Product Manager /// Consumer Health /// SÃƒÂ£o Paulo, SP",CLASS6,junior product manager  consumer health  so paulo sp
1512,Construction Safety Manager,CLASS8,construction safety manager
1513,Associate Medical Advisor (2-year contract),CLASS13,associate medical advisor 
1514,Incident & Fire Safety Operator GruppenfÃƒÂ¼hrer - LG 1.2(m/w/d),CLASS13,incident and fire safety operator gruppenfhuman resourceer  lg 12
1515,Virtual Chains&Distribution Channels Manager,CLASS7,virtual chainsanddistribution channels manager
1516,Pharma Digital Lead for Spain,CLASS4,pharma digital lead for spain
1517,"Werkstudent im Bereich Health, Safety, Environment & Facility Management (m/w/d)",CLASS13,werkstudent im bereich health safety environment and facility management 
1518,Mrkt & Enterprise Capability Success Ld,CLASS5,mrkt and enterprise capability success ld
1519,Global Manufacturing Operations Management Expert II - Crop Protection,CLASS8,global manufacturing operations management expert 2  crop protection
1520,Werkstattmeister (m/w/d),CLASS8,werkstattmeister 
1521,R2R Expert with German - Asset management,CLASS10,r2r expert with german  asset management
1522,"Tolling Lead, India",CLASS10,tolling lead india
1523,Communications Business Partner Pharma Spain,CLASS6,communications business partner pharma spain
1524,Einrichter Maintenance im Bereich Formgebung (m/w/d) - Einsatz im Schichtsystem,CLASS11,einrichter maintenance im bereich formgebung   einsatz im schichtsystem
1525,CORE: SDL Quality Upstream (m/f/d),CLASS8,core sdl quality upstream 
1526,Amazon Technical Writer,CLASS6,amazon technical writer
1527,Senior Professional FP&A,CLASS11,senior professional fpanda
1528,Customer Operational Readiness Manager (Early-Life) -- Remote,CLASS2,customer operational readiness manager   remote
1529,order processor,CLASS7,order processor
1530,Customer Operational Readiness Manager -- Remote,CLASS6,customer operational readiness manager  remote
1531,Technical Training & Product Support,CLASS1,technical training and product support
1532,Back-office New Trucks,CLASS13,backoffice new trucks
1533,Customer Operational Readiness Project Manager (Early-Life) -- Remote,CLASS6,customer operational readiness project manager   remote
1534,Rental Service Engineer,CLASS11,rental service engineer
1535,Junior Controls Engineer - Temporary,CLASS8,junior controls engineer  temporary
1536,(Junior) Investor Relations Manager (w/m/d),CLASS6, investor relations manager 
1537,Analista RemuneraÃƒÂ§ÃƒÂ£o,CLASS10,analista remunerao
1538,Site Manager (90% travel),CLASS13,site manager 
1539,Buying & Merchandising Apprenticeship Programme 2023,CLASS7,buying and merchandising apprenticeship programme 
1540,"Technical Trainer / Course Developer, Technical CD, Uptime & Retail, Japan Sales",CLASS6,technical trainer  course developer technical cd uptime and retail japan sales
1541,Legal & Compliance Counsel,CLASS3,legal and compliance counsel
1542,Head of Real World Evidence Center of Excellence (m/w/d),CLASS3,head of real world evidence center of excellence 
1543,LIMS Expert (m/w/d),CLASS13,lims expert 
1544,(Senior) Scrum Master (m/w/d),CLASS13, scrum master 
1545,IT Business Consultant (m/w/d) - Finance Transformation,CLASS10,it business consultant   finance transformation
1546,Ausbildung zum Maschinen- und AnlagenfÃƒÂ¼hrer in Ingelheim (m/w/d),CLASS1,ausbildung zum maschinen und anlagenfhuman resourceer in ingelheim 
1547,Betriebsingenieur*in /Plant Engineering (w/m/d),CLASS8,betriebsingenieurin plant engineering 
1548,Lead Business Consultant - IT Release Manager (m/w/d),CLASS5,lead business consultant  it release manager 
1549,"Technician II, Warehouse (First Shift; Rotational 2-2-3 Schedule)",CLASS8,technician 2 warehouse 
1550,Equipment Specialist,CLASS8,equipment specialist
1551,Patient Safety Specialist (Head Office) - 2 positions,CLASS3,patient safety specialist   2 positions
1552,Customer Engagement Executive,CLASS6,customer engagement executive
1553,Bidding Operation Assistant Manager,CLASS10,bidding operation assistant manager
1554,Transfer Coordinator (m/f/d),CLASS13,transfer coordinator 
1555,Snr Mgr Patient Engagement Country Partner RE,CLASS13,snr manager patient engagement country partner re
1556,Head Legal GDD Japan,CLASS9,head legal gdd japan
1557,Head of SpeakUp (d/f/m),CLASS3,head of speakup 
1558,Head Quality Sandoz,CLASS8,head quality sandoz
1559,"Medical Science Liaison, Derm/Allergy MN/WI/IA/ND/SD",CLASS4,medical science liaison dermallergy mnwiiandsd
1560,Senior Expert Science & Technology,CLASS4,senior expert science and technology
1561,Maintenance Coordinator (Instrumentation),CLASS8,maintenance coordinator 
1562,Customer Engagement Consultant IM-NS (Coastal),CLASS6,customer engagement consultant imns 
1563,P&O BP IMUS Oncology Portfolio Strategy/Customer Engagement,CLASS6,pando bp imus oncology portfolio strategycustomer engagement
1564,Sr Scientist Regenerative Medicine Novartis NIBR San Diego,CLASS4,senior scientist regenerative medicine novartis nibr san diego
1565,CONSULTOR TECNICO ESPECIALIDADES PL/SR - REUMA - RIB. PRETO/SP,CLASS4,consultor tecnico especialidades plsenior  reuma  rib pretosp
1566,"Associate Director,Ã¢â‚¬â€¹ Data Products - Sales",CLASS6,associate director data products  sales
1567,Finance Master Data Process Expert,CLASS5,finance master data process expert
1568,"Director, RLT LCM Strategy",CLASS13,director rlt lcm strategy
1569,PROPAGANDISTA PROD. FARM. JR. | NEOCARE CVM | FlorianÃƒÂ³polis | SANDOZ,CLASS13,propagandista prod farm junior  neocare cvm  florianpolis  sandoz
1570,Launch & Tender Analyst,CLASS7,launch and tender analyst
1571,QA Operations Expert (m/f/d),CLASS7,quality assucance operations expert 
1572,QA Manager ESO Ã¢â‚¬â€œ Final Dosage Forms (m/f/d),CLASS8,quality assucance manager eso  final dosage forms 
1573,Product Specialist - Liguria,CLASS4,product specialist  liguria
1574,Senior Development QA Specialist,CLASS4,senior development quality assucance specialist
